1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,4417,2214,400,7811,7815,7834,779,1081,4091,891,2445,399,411,2643,1013,11242,7757,7811,11086,7864,2759,627
4417,0,5022,4361,3402,3405,3424,4798,3689,1764,4893,5366,4441,4548,3769,4175,7405,3347,3402,7296,3454,2019,5026
2214,5022,0,2611,8120,8126,8143,1524,3072,3885,3020,348,2613,2608,1482,3193,10644,8071,8120,10456,8173,3002,2115
400,4361,2611,0,7763,7767,7786,1171,799,4199,627,2845,80,187,2950,622,11338,7709,7763,11188,7816,2844,878
7811,3402,8120,7763,0,7,22,8142,7081,4262,8290,8444,7843,7950,6698,7559,4866,54,0,4844,53,5228,8413
7815,3405,8126,7767,7,0,19,8147,7085,4268,8293,8449,7847,7954,6704,7562,4869,57,7,4848,49,5233,8417
7834,3424,8143,7786,22,19,0,8165,7104,4285,8312,8466,7866,7973,6721,7581,4856,76,22,4835,30,5251,8435
779,4798,1524,1171,8142,8147,8165,0,1825,4183,1500,1709,1152,1123,2308,1791,11288,8089,8142,11119,8196,2943,612
1081,3689,3072,799,7081,7085,7104,1825,0,3779,1213,3355,870,972,3032,500,10844,7027,7081,10704,7133,2431,1664
4091,1764,3885,4199,4262,4268,4285,4183,3779,0,4817,4198,4272,4365,2438,4269,7150,4215,4262,6995,4315,1359,4600
891,4893,3020,627,8290,8293,8312,1500,1213,4817,0,3207,563,494,3532,779,11948,8235,8290,11800,8342,3459,972
2445,5366,348,2845,8444,8449,8466,1709,3355,4198,3207,0,2839,2823,1772,3443,10880,8394,8444,10689,8497,3346,2266
399,4441,2613,80,7843,7847,7866,1152,870,4272,563,2839,0,107,2992,657,11413,7789,7843,11262,7896,2918,821
411,4548,2608,187,7950,7954,7973,1123,972,4365,494,2823,107,0,3040,724,11509,7896,7950,11357,8003,3013,743
2643,3769,1482,2950,6698,6704,6721,2308,3032,2438,3532,1772,2992,3040,0,3361,9193,6650,6698,9010,6750,1817,2888
1013,4175,3193,622,7559,7562,7581,1791,500,4269,779,3443,657,724,3361,0,11344,7504,7559,11204,7611,2916,1468
11242,7405,10644,11338,4866,4869,4856,11288,10844,7150,11948,10880,11413,11509,9193,11344,0,4903,4866,235,4843,8495,11740
7757,3347,8071,7709,54,57,76,8089,7027,4215,8235,8394,7789,7896,6650,7504,4903,0,54,4879,107,5176,8359
7811,3402,8120,7763,0,7,22,8142,7081,4262,8290,8444,7843,7950,6698,7559,4866,54,0,4844,53,5228,8413
11086,7296,10456,11188,4844,4848,4835,11119,10704,6995,11800,10689,11262,11357,9010,11204,235,4879,4844,0,4823,8343,11578
7864,3454,8173,7816,53,49,30,8196,7133,4315,8342,8497,7896,8003,6750,7611,4843,107,53,4823,0,5282,8466
2759,2019,3002,2844,5228,5233,5251,2943,2431,1359,3459,3346,2918,3013,1817,2916,8495,5176,5228,8343,5282,0,3298
627,5026,2115,878,8413,8417,8435,612,1664,4600,972,2266,821,743,2888,1468,11740,8359,8413,11578,8466,3298,0
